login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
krishnaik06,krishnaik06/3-Months-RoadMap-For-Data-Science,2022-08-18T15:50:22Z,239,239,,True,True,gpl-3.0
krishnaik06,krishnaik06/5-Days-Live-EDA-and-Feature-Engineering,2022-02-17T09:03:19Z,188,188,Jupyter Notebook,True,True,gpl-3.0
krishnaik06,krishnaik06/6-Months-Data-Science-Roadmap-,2023-01-07T06:41:22Z,1742,1742,,True,True,gpl-3.0
